collid	category	local_hit	away_hit	all_hit	local_srch	away_srch	all_srch	local_user	away_user	all_user	local_brws	away_brws	all_brws	month_year
wcc-bib	bib	0	0	0	0	0	0	1	10	11	0	0	0	Apr-08
uky	image	27	2042	2069	13	503	516	2	225	227	0	25	25	Apr-08
gar	image	0	461	461	0	68	68	1	141	142	0	313	313	Apr-08
shld	image	0	257	257	0	66	66	0	74	74	0	62	62	Apr-08
ual	image	27	2339	2366	38	1505	1543	7	274	281	0	19	19	Apr-08
rth	image	8	2376	2384	5	670	675	10	755	765	0	223	223	Apr-08
mcc	image	28	2029	2057	71	2444	2515	8	263	271	0	8	8	Apr-08
vvz	image	50	1086	1136	8	34	42	8	237	245	0	11	11	Apr-08
arrp	image	0	181	181	2	55	57	1	93	94	0	15	15	Apr-08
vvi	image	16	207	223	23	42	65	6	79	85	0	14	14	Apr-08
arrs	image	3	383	386	3	54	57	2	58	60	0	0	0	Apr-08
arrt	text	1	80	81	9	854	863	2	28	30	0	0	0	Apr-08
map	image	43	103	146	0	0	0	21	88	109	3	11	14	Apr-08
spc-bib	bib	0	0	0	25	54	79	20	63	83	0	0	0	Apr-08
vvo	text	0	72	72	87	2237	2324	11	84	95	0	0	0	Apr-08
arr-bib	bib	0	0	0	0	85	85	10	95	105	0	0	0	Apr-08
vvb	text	0	74	74	60	1744	1804	9	86	95	0	0	0	Apr-08
rth-bib	bib	0	0	0	0	0	0	9	41	50	0	0	0	Apr-08
tdh-bib	bib	0	0	0	0	11	11	9	47	56	0	0	0	Apr-08
spct-bib	bib	0	0	0	0	19	19	9	43	52	0	0	0	Apr-08
mpm-bib	bib	0	0	0	0	17	17	9	47	56	0	0	0	Apr-08
utcat-bib	bib	0	0	0	0	14	14	9	42	51	0	0	0	Apr-08
jei-bib	bib	0	0	0	3	0	3	10	39	49	0	0	0	Apr-08
vvt	text	15	164	179	18	1300	1318	7	61	68	0	0	0	Apr-08
spcd-bib	bib	0	0	0	3	41	44	13	52	65	0	0	0	Apr-08
uky-bib	bib	0	0	0	0	6	6	9	42	51	0	0	0	Apr-08
uht-bib	bib	0	0	0	0	0	0	9	40	49	0	0	0	Apr-08
fa	text	544	8304	8848	211	271	482	109	5617	5726	208	1514	1722	Apr-08
gar-bib	bib	0	0	0	0	9	9	9	41	50	0	0	0	Apr-08
shld-bib	bib	0	0	0	0	14	14	9	44	53	0	0	0	Apr-08
arro	text	0	80	80	7	2054	2061	1	22	23	0	0	0	Apr-08
mcc-bib	bib	0	0	0	0	31	31	9	45	54	0	0	0	Apr-08
ual-bib	bib	0	0	0	0	19	19	9	43	52	0	0	0	Apr-08
ar	text	276	300	576	976	580	1556	53	115	168	37	26	63	Apr-08
gam	text	0	2	2	0	0	0	0	16	16	0	43	43	Apr-08
ggma	text	128	1497	1625	0	0	0	2	108	110	0	0	0	Apr-08
tcw	text	6	2152	2158	0	0	0	1	84	85	0	0	0	Apr-08
etd	text	3675	12233	15908	0	0	0	173	958	1131	0	0	0	Apr-08
egy-bib	bib	0	0	0	0	10	10	9	39	48	0	0	0	Apr-08
yrb	text	7	0	7	0	0	0	1	69	70	2	1	3	Apr-08
coc	image	0	0	0	0	0	0	0	3	3	0	0	0	Apr-08
wpa	image	0	0	0	0	0	0	0	1	1	0	0	0	Apr-08
jei	text	1	9574	9575	0	2	2	2	1659	1661	2	819	821	Apr-08
rth	image	1	24	25	1	9	10	22	17	39	33	7	40	Aug-03
etd-bib	bib	0	0	0	59	218	277	28	48	76	0	0	0	Aug-03
